"id";"taskname";"tasksequence";"istask";"sd1";"sd2";"dfaalphaall";"dfaalpha1";"dfaalpha2"
"1";"HiddenExit";"1";"1";"6.5";"77.3";"1.334";"1.736";"1.111"
"2";"HiddenExit";"2";"0";"12.6";"126.9";"1.197";"1.805";"0.957"
"3";"HiddenExit";"3";"1";"8";"60.8";"1.154";"1.799";"0.946"
"4";"HiddenExit";"4";"0";"7.4";"80";"1.424";"1.756";"1.28"
"14";"HiddenExit";"1";"1";"4.8";"43.2";"1.498";"1.713";"1.428"
"15";"HiddenExit";"2";"0";"4.5";"56.7";"1.578";"1.829";"1.416"
"16";"HiddenExit";"3";"1";"5.4";"72.1";"1.606";"1.959";"1.484"
"17";"HiddenExit";"4";"0";"5";"54.9";"1.333";"1.445";"1.13"
"27";"HiddenExit";"1";"1";"10.5";"125.7";"1.54";"2.01";"1.314"
"28";"HiddenExit";"2";"0";"7.4";"79.2";"1.416";"2.044";"1.083"
"29";"HiddenExit";"3";"1";"12.9";"128.6";"1.415";"1.812";"1.046"
"30";"HiddenExit";"4";"0";"7.4";"90.8";"1.502";"1.838";"1.255"
"40";"HiddenExit";"1";"1";"6";"36.2";"1.168";"1.67";"1.035"
"41";"HiddenExit";"2";"0";"5";"50.5";"1.362";"1.849";"1.093"
"42";"HiddenExit";"3";"1";"3.6";"45.3";"1.415";"1.819";"1.381"
"43";"HiddenExit";"4";"0";"4.5";"46.3";"1.355";"2.057";"1.049"
"53";"HiddenExit";"1";"1";"2.7";"23.6";"1.281";"1.739";"1.129"
"54";"HiddenExit";"2";"0";"3.5";"38.1";"1.373";"1.731";"1.39"
"55";"HiddenExit";"3";"1";"3";"56";"1.711";"2.042";"1.664"
"56";"HiddenExit";"4";"0";"3.2";"36.1";"1.589";"1.736";"1.5"
"66";"HiddenExit";"1";"1";"4";"62.4";"1.403";"1.829";"1.26"
"67";"HiddenExit";"2";"0";"5.6";"97.7";"1.503";"1.916";"1.271"
"68";"HiddenExit";"3";"1";"4.6";"47.2";"1.343";"1.775";"1.152"
"69";"HiddenExit";"4";"0";"6.1";"57.2";"1.314";"1.778";"0.992"
"79";"HiddenExit";"1";"1";"6.9";"98.2";"1.343";"1.857";"1.037"
"80";"HiddenExit";"2";"0";"6";"51.5";"1.306";"1.838";"1.037"
"81";"HiddenExit";"3";"1";"6.9";"63.3";"1.326";"1.85";"1.028"
"82";"HiddenExit";"4";"0";"4.3";"36.5";"1.258";"1.805";"1.03"
"92";"HiddenExit";"1";"1";"10.9";"61.2";"0.994";"1.819";"0.697"
"93";"HiddenExit";"2";"0";"11.9";"73.7";"0.978";"1.804";"0.556"
"94";"HiddenExit";"3";"1";"14.5";"105.6";"1.177";"1.738";"0.886"
"95";"HiddenExit";"4";"0";"14";"146.5";"1.437";"1.965";"1.274"
"105";"HiddenExit";"1";"1";"3.6";"40.5";"1.39";"1.651";"1.342"
"106";"HiddenExit";"2";"0";"15.1";"125.7";"1.388";"1.815";"1.193"
"107";"HiddenExit";"3";"1";"5";"70.2";"1.253";"1.718";"1.024"
"108";"HiddenExit";"4";"0";"6.8";"61";"1.147";"1.765";"0.902"
"118";"HiddenExit";"1";"1";"4.5";"49.5";"1.369";"1.691";"1.253"
"119";"HiddenExit";"2";"0";"5.1";"49.3";"1.455";"1.638";"1.33"
"120";"HiddenExit";"3";"1";"3.4";"43.5";"1.345";"1.818";"1.203"
"121";"HiddenExit";"4";"0";"4.8";"55.8";"1.282";"1.667";"1.212"
"131";"HiddenExit";"1";"1";"5.6";"59.1";"1.253";"1.707";"1.031"
"132";"HiddenExit";"2";"0";"4.5";"37.7";"1.358";"1.796";"1.142"
"133";"HiddenExit";"3";"1";"4.1";"38.3";"1.395";"1.614";"1.382"
"134";"HiddenExit";"4";"0";"5.8";"108.7";"1.627";"1.821";"1.552"
"144";"HiddenExit";"1";"1";"9.4";"93.5";"1.461";"1.917";"1.257"
"145";"HiddenExit";"2";"0";"7.8";"38.7";"0.951";"1.742";"0.745"
"146";"HiddenExit";"3";"1";"8.5";"70.8";"1.327";"1.747";"1.095"
"147";"HiddenExit";"4";"0";"7.2";"45.4";"1.119";"1.749";"1.035"
"157";"HiddenExit";"1";"1";"4.2";"42.5";"1.204";"1.732";"1.087"
"158";"HiddenExit";"2";"0";"5.2";"51.3";"1.302";"1.812";"1.071"
"159";"HiddenExit";"3";"1";"3.7";"39.1";"1.412";"1.842";"1.289"
"160";"HiddenExit";"4";"0";"5.4";"68.4";"1.429";"1.945";"1.242"
"170";"HiddenExit";"1";"1";"11";"86.7";"1.255";"1.556";"1.312"
"171";"HiddenExit";"2";"0";"11.7";"60.8";"0.982";"1.686";"0.616"
"172";"HiddenExit";"3";"1";"16.5";"112";"1.164";"1.91";"0.942"
"173";"HiddenExit";"4";"0";"13.8";"84.6";"1.091";"1.778";"0.8"
"183";"HiddenExit";"1";"1";"23.1";"127.1";"1.082";"1.477";"0.756"
"184";"HiddenExit";"2";"0";"27.1";"139.6";"1.048";"1.586";"0.841"
